1,2,3,4,5,6,7,8,9,11,22,33,44,a,b,c,d,e,f
0,0,0,0,0,0,0,0,0,1.762041388,-1.768440145,19.75822724,5.127693447,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0.874009919,-1.331737244,34.7029121,76.43257949,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,1.051616213,3.409767719,-32.09051507,-41.60293096,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0.429994185,0.219973603,78.76655397,-2.420120004,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0.874009919,3.521444695,41.56251774,27.40542736,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,-0.102824696,-1.730674139,14.42755925,44.51690503,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0,-0.458037284,0.107009096,-8.686685585,-4.795404928,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,-0.369234137,2.225819506,-8.95691819,-31.98419195,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,-0.102824696,-0.329815303,55.3901251,92.9565126,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,-0.546840431,1.620711429,8.175564269,87.44167346,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,-1.257265606,2.674054445,60.51003785,61.20910142,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,-0.902053018,1.713001966,30.03050276,46.62250851,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,-0.546840431,-3.338590957,28.71931285,35.44378338,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,-1.079659312,-3.951292247,0.375252413,9.629359424,1,0,0,1,1,1
0,0,0,0,0,0,0,0,0,-1.257265606,-0.825666431,-7.37700717,-6.331888444,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,-1.079659312,2.345144022,-13.97344104,-19.78731072,0,1,1,1,0,0
0,0,0,0,0,0,0,0,0,-0.28043099,1.439726696,-49.52482752,-67.65863376,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1.850844535,-2.142696601,1.237947654,-3.302951836,0,0,0,1,0,0
0,0,1,1,1,0,1,1,1,1.216847934,-14.6884273,156.4564613,29.20175686,0,1,1,1,0,1
0,0,1,1,1,0,1,1,0,0.739469129,8.004158004,26.71536622,334.5206542,1,0,0,1,1,1
